<DOCUMENT filename="strings.txt">
// UI

Bingo Mod Config|ビンゴMOD設定
Enter [<current>/<required>] regions without entering 氷のモニュメント|氷のモニュメントに入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering やぶ|やぶに入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering 孤独な塔|孤独な塔に入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering 氷河の荒野|氷河の荒野に入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering 極寒の海岸|極寒の海岸に入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering 静かな建築物|静かな建築物に入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering 吹きさらしの尖塔|吹きさらしの尖塔に入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering 荒れ果てた地|荒れ果てた地に入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering 不毛の水路|不毛の水路に入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering 原始的な地下|原始的な地下に入らず<required>つの地域を訪問する
Enter [<current>/<required>] regions without entering ルビコン|ルビコンに入らず<required>つの地域を訪問する
