// UI

Bingo Mod Config|빙고모드 설정
Craft [8/5] <item>|<item> 아이템을 제작하기 [8/5]
Craft [8/6] <item>|<item> 아이템을 제작하기 [8/6]
Craft [8/7] <item>|<item> 아이템을 제작하기 [8/7]
Craft [8/8] <item>|<item> 아이템을 제작하기 [8/8]
Craft [8/9] <item>|<item> 아이템을 제작하기 [8/9]
Craft [8/10] <item>|<item> 아이템을 제작하기 [8/10]
Craft [9/1] <item>|<item> 아이템을 제작하기 [9/1]
Craft [9/2] <item>|<item> 아이템을 제작하기 [9/2]
Craft [9/3] <item>|<item> 아이템을 제작하기 [9/3]
Craft [9/4] <item>|<item> 아이템을 제작하기 [9/4]
Craft [9/5] <item>|<item> 아이템을 제작하기 [9/5]
Craft [9/6] <item>|<item> 아이템을 제작하기 [9/6]
Craft [9/7] <item>|<item> 아이템을 제작하기 [9/7]
Craft [9/8] <item>|<item> 아이템을 제작하기 [9/8]
Craft [9/9] <item>|<item> 아이템을 제작하기 [9/9]
Craft [9/10] <item>|<item> 아이템 제작하기 [9/10]
Craft [10/1] <item>|<item> 아이템 제작하기 [10/1]
Craft [10/2] <item>|<item> 아이템을 제작하기 [10/2]
Craft [10/3] <item>|<item> 아이템을 제작하기 [10/3]
Craft [10/4] <item>|<item> 아이템을 제작하기 [10/4]
Craft [10/5] <item>|<item> 아이템을 제작하기 [10/5]
Craft [10/6] <item>|<item> 아이템을 제작하기 [10/6]
Craft [10/7] <item>|<item> 아이템을 제작하기 [10/7]
Craft [10/8] <item>|<item> 아이템을 제작하기 [10/8]
Craft [10/9] <item>|<item> 아이템을 제작하기 [10/9]
Craft [10/10] <item>|<item> 아이템을 제작하기 [10/10]

Enter [<current>/<required>] regions without entering 교외|교외를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 산업 단지|산업 단지를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 굴뚝 덮개|굴뚝 덮개를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 배수 처리시설|배수 처리시설을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 쓰레기 폐기장|쓰레기 폐기장을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 그늘진 성채|그늘진 성채 지역을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 연안선|연안선을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 하늘 제도|하늘 제도를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 농장 배열지|농장 배열지를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 외부|외부를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 다섯 조약돌|다섯 조약돌을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 지하|지하를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 파이프 공장|파이프 공장을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 침수된 상부구조물|침수된 상부구조물을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 바깥 광야|바깥 광야를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 수변 시설|수변 시설을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 대도시|대도시를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 부패|부패를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 달을 향해 보라|달을 향해 보라를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 근교 갱도|근교 갱도를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 얼은 기념물|얼은 기념물을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 지하 수림|지하 수림을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 고립된 탑세|고립된 탑세를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 냉랭한 황폐지|냉랭한 황폐지를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 싸늘한 물가|싸늘한 물가를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 고요한 구조|고요한 구조를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 바람받이 첩탑|바람받이 첩탑을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 황폐한 들판|황폐한 들판을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 버려진 도관|버려진 도관을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 원시 지하|원시 지하를 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
Enter [<current>/<required>] regions without entering 루비콘|루비콘을 일정 수의 지역을 방문할 때까지 진입하지 않기 [<current>/<required>]
